店铺id,店铺名称,经度,纬度,人均消费,评分,评论数量,距离描述,米其林推荐指数,归属商圈,菜系类型,city,county,营业时间,地址,店铺电话
910001,示例川菜馆A,116.404500,39.915100,68,4.6,120,距市中心3km,,王府井商圈,川菜,北京,东城区,营业中 10:00-22:00,示例路1号,00000000000
910002,示例火锅店B,116.316200,39.937500,120,4.3,86,距市中心8km,,三里屯商圈,火锅,北京,朝阳区,营业中 11:00-23:00,示例街2号,00000000000
910003,示例面馆C,116.345600,39.884200,32,,15,距市中心6km,,中关村商圈,小吃,北京,海淀区,休息中 明天09:30营业,示例大道3号,00000000000
910004,示例咖啡店D,116.392800,39.926800,45,4.8,210,距市中心4km,,国贸商圈,咖啡店,北京,朝阳区,营业中 08:00-20:00,示例广场4号,00000000000
910005,示例日料店E,116.418900,39.901200,180,4.5,64,距市中心2km,,东直门商圈,日本料理,北京,东城区,营业中 11:30-22:30,示例胡同5号,00000000000
910006,示例烧烤店F,116.452300,39.912700,95,3.9,45,距市中心5km,,簋街商圈,烧烤,北京,东城区,营业中 16:00-02:00,示例巷6号,00000000000
910007,示例快餐店G,116.377800,39.908500,26,,8,距市中心7km,,西单商圈,快餐简餐,北京,西城区,营业中 07:30-21:00,示例街7号,00000000000
910008,示例湘菜馆H,116.333400,39.929900,88,4.1,32,距市中心10km,,望京商圈,湘菜,北京,朝阳区,营业中 10:30-22:30,示例路8号,00000000000
910009,示例面包店I,116.398700,39.931600,52,4.7,150,距市中心3km,,崇文门商圈,面包甜点,北京,东城区,营业中 07:00-21:00,示例街9号,00000000000
910010,示例韩餐店J,116.386500,39.956200,110,4.4,98,距市中心11km,,五道口商圈,韩国料理,北京,海淀区,营业中 10:30-22:00,示例路10号,00000000000
